altitude,date_time,direction,latitude,longitude,speed_2d,bird_name
71,2013-08-15 00:18:08+00:00,-150.469753064251,49.4198595,2.1207332,0.15,Eric
56,2013-08-16 19:28:23+00:00,164.78231536329,49.93076370000001,2.2768063,0.12369316876853,Eric
105,2013-08-28 19:10:12+00:00,38.3808461556817,50.191926200000005,2.7334971,4.6244999729700496,Eric
612,2013-11-10 12:47:34+00:00,-141.764421101011,49.7685454,2.3454776,10.670112464262,Eric
184,2013-11-10 15:19:25+00:00,-132.37432439001898,49.2281914,1.9046408,10.2740936339903,Eric
1,2013-11-12 22:19:38+00:00,79.3180345745561,49.296683,1.2294158000000002,0.226715680975093,Eric
143,2013-11-15 13:24:35+00:00,143.495495894074,49.01696389999999,0.8850443000000001,1.03247275993122,Eric
504,2013-11-15 14:39:33+00:00,-125.177370184396,48.6713979,0.397205,16.9482181954328,Eric
299,2013-11-15 15:54:15+00:00,-123.21606098681002,48.065082700000005,-0.3445484,18.0415880675732,Eric
224,2013-11-15 17:10:53+00:00,-160.260393554431,47.3662028,-1.1818273,17.5702845736772,Eric
460,2013-11-15 18:26:28+00:00,-158.318032985836,46.558929600000006,-1.8675369,17.4648962207051,Eric
360,2013-11-15 19:43:07+00:00,-176.052973347944,45.735739200000005,-2.3347381,7.41242200633504,Eric
4808,2013-11-15 21:27:20+00:00,-136.117947980314,44.67901,-3.9603468,20.266950930024,Eric
12,2013-11-15 23:58:48+00:00,21.300523813474697,43.5312553,-5.265283,1.21264174429219,Eric
454,2013-11-16 02:29:48+00:00,-138.479276792887,43.5858659,-6.1071113,9.24599372701496,Eric
297,2013-11-16 04:00:20+00:00,78.4966072881339,43.5819344,-7.314528200000001,3.01663720059274,Eric
492,2013-11-16 05:15:16+00:00,-107.436875699585,43.7042178,-8.164909399999999,30.9794673937432,Eric
5,2013-11-16 06:31:27+00:00,-156.79256679737802,43.3142216,-8.9794067,1.25642349548232,Eric
0,2013-11-16 07:48:08+00:00,110.558572516278,42.908123,-9.2760071,1.30096118312577,Eric
240,2013-11-16 12:48:06+00:00,136.063919082203,42.4277559,-8.8757916,9.026499875366971,Eric
244,2013-11-16 15:19:31+00:00,175.630057557279,41.5612089,-8.8367824,11.9377468560864,Eric
60,2013-11-16 16:35:32+00:00,178.12769237613605,40.9421918,-8.681258900000001,9.265786528946151,Eric
2,2013-11-17 01:26:20+00:00,161.316004882293,40.34523170000001,-8.9872049,0.542033209314706,Eric
93,2013-11-17 09:44:46+00:00,-143.180934451884,39.840185,-8.9939824,10.6158796149919,Eric
271,2013-11-17 16:03:18+00:00,136.351860631765,39.212519,-9.3671655,8.42401923074728,Eric
235,2013-11-17 17:17:57+00:00,130.590768022504,38.6151341,-9.4093426,15.0727568812079,Eric
487,2013-11-17 18:34:26+00:00,173.25919655000598,38.0557021,-9.0609038,11.4021269945568,Eric
119,2013-11-17 19:49:06+00:00,-163.729769988696,37.4510776,-8.8265998,7.111012586123019,Eric
203,2013-11-17 21:19:32+00:00,137.12124193167102,36.8380671,-8.731481,13.6745749476903,Eric
329,2013-11-17 23:51:08+00:00,141.799043186536,35.9548114,-7.8363881,11.799135561557,Eric
12,2013-11-18 03:17:19+00:00,163.599266431952,34.991584100000004,-7.0592478000000005,8.51917836413818,Eric
127,2013-11-18 08:17:39+00:00,-162.492028957877,34.487827100000004,-6.7884660000000006,7.18616726774433,Eric
133,2013-11-18 15:51:11+00:00,-105.192281115836,34.0745851,-6.8009588,10.5303086374522,Eric
13,2013-11-19 07:43:43+00:00,12.5251373261261,33.807835600000004,-7.1965127,1.13216606555752,Eric
94,2013-11-19 12:23:16+00:00,-83.62935537219391,33.553458500000005,-7.5387443,6.18218408008044,Eric
9,2013-11-23 09:26:13+00:00,-85.6174270305708,33.375221,-8.2653464,9.28420702052685,Eric
5,2013-11-23 16:57:57+00:00,144.998319777447,33.129796899999995,-8.6268125,0.61400325732035,Eric
176,2013-11-24 14:44:42+00:00,-131.413902434307,32.8348956,-8.9095213,15.0210685372246,Eric
87,2013-11-24 16:01:33+00:00,117.750701922658,32.4964453,-9.2725603,6.94446542219054,Eric
120,2013-11-25 08:54:13+00:00,-174.771951139243,31.5578111,-9.7378392,6.54920605875247,Eric
472,2013-11-25 10:28:05+00:00,176.3051522637,30.9256847,-9.8299806,9.58305274951568,Eric
5,2013-11-25 12:58:39+00:00,40.7702702537385,30.4397706,-9.6512085,0.6726812023536861,Eric
2,2014-03-29 23:19:06+00:00,86.9431176675043,30.747593100000003,-9.9077192,0.127279220613579,Eric
-8,2014-03-30 08:35:35+00:00,39.367779565174,31.2976239,-9.8009043,11.3376584884181,Eric
298,2014-03-30 11:08:27+00:00,42.6921439162886,31.880126300000004,-9.4820422,14.4059744550655,Eric
71,2014-03-30 12:23:28+00:00,95.9628843507786,32.2773683,-9.20808,0.6092618484691129,Eric
183,2014-03-30 14:54:43+00:00,76.2738075853255,33.0027533,-8.7202414,16.4854875572426,Eric
87,2014-03-30 16:11:27+00:00,32.961868943282106,33.329987800000005,-8.3262207,10.7546873501743,Eric
219,2014-03-30 17:27:10+00:00,10.2486586552604,33.5734283,-7.6455705,8.82308902822589,Eric
40,2014-03-31 00:46:24+00:00,8.140321310400491,34.1519357,-7.243288400000001,16.448927016678,Eric
-2,2014-03-31 03:02:27+00:00,-19.088319990751,34.9692424,-6.973439900000001,0.7805767098754609,Eric
118,2014-03-31 04:17:49+00:00,-0.9260786111151752,35.4775427,-6.8363509,10.130059229836698,Eric
